ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Apply Operations to Make Sum of Array Greater Than or Equal to k,44.4%,Medium,100.0,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
2,Largest Number After Digit Swaps by Parity,63.3%,Easy,100.0,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
3,Day of the Year,48.9%,Easy,100.0,https://leetcode.com/problems/day-of-the-year,"Math, String"
4,Maximum Strong Pair XOR II,30.4%,Hard,100.0,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
5,Maximum Strong Pair XOR I,75.3%,Easy,100.0,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
6,Optimal Account Balancing,49.7%,Hard,94.3,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
7,Robot Bounded In Circle,56.2%,Medium,76.8,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
8,Two Sum,55.1%,Easy,76.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,Jump Game,39.1%,Medium,69.5,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
10,Rotate Image,77.2%,Medium,69.5,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
11,Remove All Adjacent Duplicates in String II,59.1%,Medium,69.5,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
12,Find the Smallest Divisor Given a Threshold,62.6%,Medium,69.5,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
13,Degree of an Array,57.1%,Easy,59.3,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
14,Longest Substring Without Repeating Characters,36.3%,Medium,59.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
15,Remove Duplicates from Sorted Array,59.5%,Easy,59.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
16,Linked List Cycle,52.0%,Easy,59.3,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
17,Moving Average from Data Stream,79.6%,Easy,59.3,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
18,Maximum Subarray,51.7%,Medium,59.3,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
19,String Compression,57.3%,Medium,59.3,https://leetcode.com/problems/string-compression,"Two Pointers, String"
20,Maximum Number of Events That Can Be Attended,32.7%,Medium,59.3,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
21,Integer to Roman,67.9%,Medium,59.3,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
22,Longest Common Prefix,44.9%,Easy,59.3,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
23,Search in Rotated Sorted Array,42.3%,Medium,59.3,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
24,Contains Duplicate,62.8%,Easy,59.3,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
25,Palindrome Linked List,55.2%,Easy,59.3,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
26,Number of Divisible Triplet Sums,66.0%,Medium,59.3,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
